,gene,Symbol,description
5131,ENSMUSG00000036432,Siah2,siah E3 ubiquitin protein ligase 2
5132,ENSMUSG00000022885,St6gal1,"beta galactoside alpha 2,6 sialyltransferase 1"
5133,ENSMUSG00000028538,St3gal3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
5134,ENSMUSG00000013846,St3gal1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
5135,ENSMUSG00000032038,St3gal4,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
5136,ENSMUSG00000031749,St3gal2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
5137,ENSMUSG00000009588,St6galnac1,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
5138,ENSMUSG00000057286,St6galnac2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
5139,ENSMUSG00000052544,St6galnac3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
5140,ENSMUSG00000079442,St6galnac4,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4"
5141,ENSMUSG00000030283,St8sia1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
5142,ENSMUSG00000025789,St8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
5143,ENSMUSG00000056812,St8sia3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
5144,ENSMUSG00000040710,St8sia4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
5145,ENSMUSG00000056091,St3gal5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
5147,ENSMUSG00000038751,Ptk6,PTK6 protein tyrosine kinase 6
5148,ENSMUSG00000028718,Stil,Scl/Tal1 interrupting locus
5150,ENSMUSG00000022858,Tra2b,transformer 2 beta
5151,ENSMUSG00000024248,Cox7a2l,cytochrome c oxidase subunit 7A2 like
5152,ENSMUSG00000019913,Sim1,single-minded family bHLH transcription factor 1
5153,ENSMUSG00000062713,Sim2,single-minded family bHLH transcription factor 2
5154,ENSMUSG00000042557,Sin3a,"transcriptional regulator, SIN3A (yeast)"
5155,ENSMUSG00000031622,Sin3b,"transcriptional regulator, SIN3B (yeast)"
5156,ENSMUSG00000056917,Sipa1,signal-induced proliferation associated gene 1
5157,ENSMUSG00000051367,Six1,sine oculis-related homeobox 1
5158,ENSMUSG00000024134,Six2,sine oculis-related homeobox 2
5159,ENSMUSG00000038805,Six3,sine oculis-related homeobox 3
5160,ENSMUSG00000034460,Six4,sine oculis-related homeobox 4
5161,ENSMUSG00000040841,Six5,sine oculis-related homeobox 5
5162,ENSMUSG00000021099,Six6,sine oculis-related homeobox 6
5163,ENSMUSG00000009907,Vps4b,vacuolar protein sorting 4B
5164,ENSMUSG00000001829,Clpb,ClpB caseinolytic peptidase B
5165,ENSMUSG00000029050,Ski,ski sarcoma viral oncogene homolog (avian)
5166,ENSMUSG00000027660,Skil,SKI-like
5168,ENSMUSG00000022372,Sla,src-like adaptor
5169,ENSMUSG00000004642,Slbp,stem-loop binding protein
5170,ENSMUSG00000021135,Slc10a1,"solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
5171,ENSMUSG00000023073,Slc10a2,"solute carrier family 10, member 2"
5172,ENSMUSG00000027202,Slc12a1,"solute carrier family 12, member 1"
5173,ENSMUSG00000024597,Slc12a2,"solute carrier family 12, member 2"
5174,ENSMUSG00000031766,Slc12a3,"solute carrier family 12, member 3"
5175,ENSMUSG00000017765,Slc12a4,"solute carrier family 12, member 4"
5176,ENSMUSG00000017756,Slc12a7,"solute carrier family 12, member 7"
5177,ENSMUSG00000001095,Slc13a2,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
5178,ENSMUSG00000032902,Slc16a1,"solute carrier family 16 (monocarboxylic acid transporters), member 1"
5179,ENSMUSG00000033965,Slc16a2,"solute carrier family 16 (monocarboxylic acid transporters), member 2"
5180,ENSMUSG00000020102,Slc16a7,"solute carrier family 16 (monocarboxylic acid transporters), member 7"
5181,ENSMUSG00000021335,Slc17a1,"solute carrier family 17 (sodium phosphate), member 1"
5182,ENSMUSG00000021490,Slc34a1,"solute carrier family 34 (sodium phosphate), member 1"
5183,ENSMUSG00000100241,Slc18a3,"solute carrier family 18 (vesicular monoamine), member 3"
5184,ENSMUSG00000001436,Slc19a1,"solute carrier family 19 (folate transporter), member 1"
5185,ENSMUSG00000024935,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"
5186,ENSMUSG00000005089,Slc1a2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2"
5187,ENSMUSG00000005360,Slc1a3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3"
5188,ENSMUSG00000005357,Slc1a6,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
5189,ENSMUSG00000001918,Slc1a5,"solute carrier family 1 (neutral amino acid transporter), member 5"
5190,ENSMUSG00000027397,Slc20a1,"solute carrier family 20, member 1"
5191,ENSMUSG00000037656,Slc20a2,"solute carrier family 20, member 2"
5192,ENSMUSG00000023829,Slc22a1,"solute carrier family 22 (organic cation transporter), member 1"
5193,ENSMUSG00000040966,Slc22a2,"solute carrier family 22 (organic cation transporter), member 2"
5194,ENSMUSG00000023828,Slc22a3,"solute carrier family 22 (organic cation transporter), member 3"
5195,ENSMUSG00000018900,Slc22a5,"solute carrier family 22 (organic cation transporter), member 5"
5196,ENSMUSG00000061742,Slc22a12,"solute carrier family 22 (organic anion/cation transporter), member 12"
5197,ENSMUSG00000024354,Slc23a1,"solute carrier family 23 (nucleobase transporters), member 1"
5198,ENSMUSG00000031105,Slc25a14,"solute carrier family 25 (mitochondrial carrier, brain), member 14"
5199,ENSMUSG00000022404,Slc25a17,"solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17"
5200,ENSMUSG00000028645,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1"
5201,ENSMUSG00000027690,Slc2a2,"solute carrier family 2 (facilitated glucose transporter), member 2"
5202,ENSMUSG00000003153,Slc2a3,"solute carrier family 2 (facilitated glucose transporter), member 3"
5203,ENSMUSG00000018566,Slc2a4,"solute carrier family 2 (facilitated glucose transporter), member 4"
5204,ENSMUSG00000066150,Slc31a1,"solute carrier family 31, member 1"
5205,ENSMUSG00000066152,Slc31a2,"solute carrier family 31, member 2"
5206,ENSMUSG00000029188,Slc34a2,"solute carrier family 34 (sodium phosphate), member 2"
5207,ENSMUSG00000024131,Slc3a1,"solute carrier family 3, member 1"
5208,ENSMUSG00000006574,Slc4a1,"solute carrier family 4 (anion exchanger), member 1"
5209,ENSMUSG00000029141,Slc4a1ap,"solute carrier family 4 (anion exchanger), member 1, adaptor protein"
5210,ENSMUSG00000028962,Slc4a2,"solute carrier family 4 (anion exchanger), member 2"
5211,ENSMUSG00000006576,Slc4a3,"solute carrier family 4 (anion exchanger), member 3"
5212,ENSMUSG00000011034,Slc5a1,"solute carrier family 5 (sodium/glucose cotransporter), member 1"
5213,ENSMUSG00000055368,Slc6a2,"solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2"
5214,ENSMUSG00000040010,Slc7a5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"
5215,ENSMUSG00000000958,Slc7a7,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
5216,ENSMUSG00000054640,Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1"
5217,ENSMUSG00000028854,Slc9a1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1"
5218,ENSMUSG00000078763,Slfn1,schlafen 1
5219,ENSMUSG00000072620,Slfn2,schlafen 2
5220,ENSMUSG00000018986,Slfn3,schlafen 3
5221,ENSMUSG00000000204,Slfn4,schlafen 4
5222,ENSMUSG00000025020,Slit1,slit guidance ligand 1
5223,ENSMUSG00000031558,Slit2,slit guidance ligand 2
5224,ENSMUSG00000056427,Slit3,slit guidance ligand 3
5227,ENSMUSG00000017002,Slpi,secretory leukocyte peptidase inhibitor
5228,ENSMUSG00000022676,Snai2,snail family zinc finger 2
5229,ENSMUSG00000002428,Hltf,helicase-like transcription factor
5230,ENSMUSG00000032187,Smarca4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
5231,ENSMUSG00000000902,Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
5232,ENSMUSG00000032481,Smarcc1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
5233,ENSMUSG00000024831,Ighmbp2,immunoglobulin mu binding protein 2
5235,ENSMUSG00000025332,Kdm5c,lysine (K)-specific demethylase 5C
5236,ENSMUSG00000056673,Kdm5d,lysine (K)-specific demethylase 5D
5237,ENSMUSG00000021645,Smn1,survival motor neuron 1
5238,ENSMUSG00000037049,Smpd1,"sphingomyelin phosphodiesterase 1, acid lysosomal"
5239,ENSMUSG00000019822,Smpd2,"sphingomyelin phosphodiesterase 2, neutral"
5240,ENSMUSG00000029280,Smr3a,submaxillary gland androgen regulated protein 3A
5241,ENSMUSG00000029281,Smr2,submaxillary gland androgen regulated protein 2
5242,ENSMUSG00000029478,Ncor2,nuclear receptor co-repressor 2
5243,ENSMUSG00000071708,Sms,spermine synthase
5244,ENSMUSG00000004366,Sst,somatostatin
5245,ENSMUSG00000035431,Sstr1,somatostatin receptor 1
5246,ENSMUSG00000047904,Sstr2,somatostatin receptor 2
5247,ENSMUSG00000044933,Sstr3,somatostatin receptor 3
5248,ENSMUSG00000037014,Sstr4,somatostatin receptor 4
5249,ENSMUSG00000050824,Sstr5,somatostatin receptor 5
5250,ENSMUSG00000020265,Sumo3,small ubiquitin-like modifier 3
5251,ENSMUSG00000095267,Ssty1,spermiogenesis specific transcript on the Y 1
5252,ENSMUSG00000027322,Siglec1,"sialic acid binding Ig-like lectin 1, sialoadhesin"
5253,ENSMUSG00000042821,Snai1,snail family zinc finger 1
5254,ENSMUSG00000027273,Snap25,synaptosomal-associated protein 25
5255,ENSMUSG00000001018,Snapin,SNAP-associated protein
5256,ENSMUSG00000033419,Snap91,synaptosomal-associated protein 91
5257,ENSMUSG00000025889,Snca,"synuclein, alpha"
5258,ENSMUSG00000023064,Sncg,"synuclein, gamma"
5259,ENSMUSG00000027287,Snap23,synaptosomal-associated protein 23
5260,ENSMUSG00000021701,Plk2,polo like kinase 2
5261,ENSMUSG00000037972,Snn,stannin
5263,ENSMUSG00000038145,Snrk,SNF related kinase
5264,ENSMUSG00000020929,Eftud2,elongation factor Tu GTP binding domain containing 2
5265,ENSMUSG00000024217,Snrpc,U1 small nuclear ribonucleoprotein C
5268,ENSMUSG00000063511,Snrnp70,small nuclear ribonucleoprotein 70 (U1)
5269,ENSMUSG00000027404,Snrpb,small nuclear ribonucleoprotein B
5270,ENSMUSG00000008333,Snrpb2,U2 small nuclear ribonucleoprotein B
5271,ENSMUSG00000002477,Snrpd1,small nuclear ribonucleoprotein D1
5272,ENSMUSG00000090553,Snrpe,small nuclear ribonucleoprotein E
5273,ENSMUSG00000102252,Snrpn,small nuclear ribonucleoprotein N
5274,ENSMUSG00000027488,Snta1,"syntrophin, acidic 1"
5275,ENSMUSG00000060429,Sntb1,"syntrophin, basic 1"
5276,ENSMUSG00000041308,Sntb2,"syntrophin, basic 2"
5277,ENSMUSG00000026600,Soat1,sterol O-acyltransferase 1
5279,ENSMUSG00000022982,Sod1,"superoxide dismutase 1, soluble"
5280,ENSMUSG00000006818,Sod2,"superoxide dismutase 2, mitochondrial"
5281,ENSMUSG00000072941,Sod3,"superoxide dismutase 3, extracellular"
5282,ENSMUSG00000022961,Son,Son DNA binding protein
5284,ENSMUSG00000049313,Sorl1,"sortilin-related receptor, LDLR class A repeats-containing"
5285,ENSMUSG00000068747,Sort1,sortilin 1
5286,ENSMUSG00000024241,Sos1,SOS Ras/Rac guanine nucleotide exchange factor 1
5287,ENSMUSG00000034801,Sos2,SOS Ras/Rho guanine nucleotide exchange factor 2
5288,ENSMUSG00000096014,Sox1,SRY (sex determining region Y)-box 1
5289,ENSMUSG00000033006,Sox10,SRY (sex determining region Y)-box 10
5290,ENSMUSG00000063632,Sox11,SRY (sex determining region Y)-box 11
5291,ENSMUSG00000051817,Sox12,SRY (sex determining region Y)-box 12
5292,ENSMUSG00000070643,Sox13,SRY (sex determining region Y)-box 13
5293,ENSMUSG00000053747,Sox14,SRY (sex determining region Y)-box 14
5294,ENSMUSG00000041287,Sox15,SRY (sex determining region Y)-box 15
5295,ENSMUSG00000025902,Sox17,SRY (sex determining region Y)-box 17
5296,ENSMUSG00000046470,Sox18,SRY (sex determining region Y)-box 18
5298,ENSMUSG00000074637,Sox2,SRY (sex determining region Y)-box 2
5299,ENSMUSG00000045179,Sox3,SRY (sex determining region Y)-box 3
5300,ENSMUSG00000076431,Sox4,SRY (sex determining region Y)-box 4
5301,ENSMUSG00000041540,Sox5,SRY (sex determining region Y)-box 5
5302,ENSMUSG00000051910,Sox6,SRY (sex determining region Y)-box 6
5303,ENSMUSG00000063060,Sox7,SRY (sex determining region Y)-box 7
5304,ENSMUSG00000024176,Sox8,SRY (sex determining region Y)-box 8
5305,ENSMUSG00000000567,Sox9,SRY (sex determining region Y)-box 9
5306,ENSMUSG00000001280,Sp1,trans-acting transcription factor 1
5307,ENSMUSG00000026222,Sp100,nuclear antigen Sp100
5309,ENSMUSG00000001948,Spa17,sperm autoantigenic protein 17
5310,ENSMUSG00000027109,Sp3,trans-acting transcription factor 3
5311,ENSMUSG00000025323,Sp4,trans-acting transcription factor 4
5312,ENSMUSG00000024565,Sall3,spalt like transcription factor 3
5313,ENSMUSG00000029682,Spam1,sperm adhesion molecule 1
5315,ENSMUSG00000018593,Sparc,secreted acidic cysteine rich glycoprotein
5317,ENSMUSG00000061878,Sphk1,sphingosine kinase 1
5318,ENSMUSG00000066366,Serpina1a,"serine (or cysteine) peptidase inhibitor, clade A, member 1A"
5319,ENSMUSG00000071178,Serpina1b,"serine (or cysteine) preptidase inhibitor, clade A, member 1B"
5320,ENSMUSG00000079015,Serpina1c,"serine (or cysteine) peptidase inhibitor, clade A, member 1C"
5321,ENSMUSG00000071177,Serpina1d,"serine (or cysteine) peptidase inhibitor, clade A, member 1D"
5322,ENSMUSG00000072849,Serpina1e,"serine (or cysteine) peptidase inhibitor, clade A, member 1E"
5323,ENSMUSG00000021403,Serpinb9b,"serine (or cysteine) peptidase inhibitor, clade B, member 9b"
5324,ENSMUSG00000021404,Serpinb9c,"serine (or cysteine) peptidase inhibitor, clade B, member 9c"
5325,ENSMUSG00000042842,Serpinb6b,"serine (or cysteine) peptidase inhibitor, clade B, member 6b"
5326,ENSMUSG00000038327,Serpinb9f,"serine (or cysteine) peptidase inhibitor, clade B, member 9f"
5327,ENSMUSG00000062342,Serpinb9e,"serine (or cysteine) peptidase inhibitor, clade B, member 9e"
5330,ENSMUSG00000027834,Serpini1,"serine (or cysteine) peptidase inhibitor, clade I, member 1"
5331,ENSMUSG00000058207,Serpina3k,"serine (or cysteine) peptidase inhibitor, clade A, member 3K"
5332,ENSMUSG00000041481,Serpina3g,"serine (or cysteine) peptidase inhibitor, clade A, member 3G"
5333,ENSMUSG00000021091,Serpina3n,"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
5334,ENSMUSG00000079012,Serpina3m,"serine (or cysteine) peptidase inhibitor, clade A, member 3M"
5335,ENSMUSG00000060147,Serpinb6a,"serine (or cysteine) peptidase inhibitor, clade B, member 6a"
5336,ENSMUSG00000026249,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2"
5337,ENSMUSG00000045827,Serpinb9,"serine (or cysteine) peptidase inhibitor, clade B, member 9"
5338,ENSMUSG00000067006,Serpinb5,"serine (or cysteine) peptidase inhibitor, clade B, member 5"
5339,ENSMUSG00000026315,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8"
5340,ENSMUSG00000054266,Serpinb9d,"serine (or cysteine) peptidase inhibitor, clade B, member 9d"
5341,ENSMUSG00000004359,Spic,Spi-C transcription factor (Spi-1/PU.1 related)
5342,ENSMUSG00000021395,Spin1,spindlin 1
5343,ENSMUSG00000024503,Spink1,"serine peptidase inhibitor, Kazal type 1"
5344,ENSMUSG00000028415,Spink4,"serine peptidase inhibitor, Kazal type 4"
5345,ENSMUSG00000027315,Spint1,"serine protease inhibitor, Kunitz type 1"
5346,ENSMUSG00000074227,Spint2,"serine protease inhibitor, Kunitz type 2"
5347,ENSMUSG00000051457,Spn,sialophorin
5348,ENSMUSG00000116210,Spn-ps,"sialophorin, pseudogene"
5349,ENSMUSG00000026532,Spta1,"spectrin alpha, erythrocytic 1"
5350,ENSMUSG00000057738,Sptan1,"spectrin alpha, non-erythrocytic 1"
5351,ENSMUSG00000021061,Sptb,"spectrin beta, erythrocytic"
5352,ENSMUSG00000020315,Sptbn1,"spectrin beta, non-erythrocytic 1"
5353,ENSMUSG00000067889,Sptbn2,"spectrin beta, non-erythrocytic 2"
5354,ENSMUSG00000026915,Strbp,spermatid perinuclear RNA binding protein
5355,ENSMUSG00000056222,Spock1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1"
5356,ENSMUSG00000057522,Spop,speckle-type BTB/POZ protein
5357,ENSMUSG00000029304,Spp1,secreted phosphoprotein 1
5358,ENSMUSG00000033735,Spr,sepiapterin reductase
5359,ENSMUSG00000050359,Sprr1a,small proline-rich protein 1A
5360,ENSMUSG00000048455,Sprr1b,small proline-rich protein 1B
5361,ENSMUSG00000078664,Sprr2a1,small proline-rich protein 2A1
5362,ENSMUSG00000050092,Sprr2b,small proline-rich protein 2B
5364,ENSMUSG00000042212,Sprr2d,small proline-rich protein 2D
5365,ENSMUSG00000055030,Sprr2e,small proline-rich protein 2E
5366,ENSMUSG00000050635,Sprr2f,small proline-rich protein 2F
5367,ENSMUSG00000046203,Sprr2g,small proline-rich protein 2G
5368,ENSMUSG00000046259,Sprr2h,small proline-rich protein 2H
5369,ENSMUSG00000042157,Sprr2i,small proline-rich protein 2I
5370,ENSMUSG00000027925,Sprr2j-ps,"small proline-rich protein 2J, pseudogene"
5371,ENSMUSG00000054215,Sprr2k,small proline-rich protein 2K
5372,ENSMUSG00000045539,Sprr3,small proline-rich protein 3
5374,ENSMUSG00000049091,Sephs2,selenophosphate synthetase 2
5375,ENSMUSG00000036925,Mucl2,mucin-like 2
5376,ENSMUSG00000060311,Mucl1,mucin-like 1
5377,ENSMUSG00000021036,Sptlc2,"serine palmitoyltransferase, long chain base subunit 2"
5378,ENSMUSG00000022351,Sqle,squalene epoxidase
5379,ENSMUSG00000049555,Tmie,transmembrane inner ear
5380,ENSMUSG00000037936,Scarb1,"scavenger receptor class B, member 1"
5381,ENSMUSG00000027646,Src,Rous sarcoma oncogene
5384,ENSMUSG00000020538,Srebf1,sterol regulatory element binding transcription factor 1
5385,ENSMUSG00000022463,Srebf2,sterol regulatory element binding factor 2
5386,ENSMUSG00000015605,Srf,serum response factor
5387,ENSMUSG00000006442,Srm,spermidine synthase
5388,ENSMUSG00000027579,Srms,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
5390,ENSMUSG00000009549,Srp14,signal recognition particle 14
5391,ENSMUSG00000004865,Srpk1,serine/arginine-rich protein specific kinase 1
5392,ENSMUSG00000062604,Srpk2,serine/arginine-rich protein specific kinase 2
5393,ENSMUSG00000032553,Srprb,"signal recognition particle receptor, B subunit"
5395,ENSMUSG00000030966,Trim21,tripartite motif-containing 21
5396,ENSMUSG00000018199,Ro60,"Ro60, Y RNA binding protein"
5397,ENSMUSG00000068882,Ssb,Sjogren syndrome antigen B
5398,ENSMUSG00000063480,Snu13,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)"
5400,ENSMUSG00000002014,Ssr4,"signal sequence receptor, delta"
5401,ENSMUSG00000027067,Ssrp1,structure specific recognition protein 1
5402,ENSMUSG00000044526,Znrf4,zinc and ring finger 4
5404,ENSMUSG00000032502,Stac,src homology three (SH3) and cysteine rich domain
5405,ENSMUSG00000061079,Zfp143,zinc finger protein 143
5406,ENSMUSG00000037286,Stag1,stromal antigen 1
5407,ENSMUSG00000025862,Stag2,stromal antigen 2
5408,ENSMUSG00000026718,Stam,signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
5409,ENSMUSG00000031574,Star,steroidogenic acute regulatory protein
5410,ENSMUSG00000026104,Stat1,signal transducer and activator of transcription 1
5411,ENSMUSG00000040033,Stat2,signal transducer and activator of transcription 2
5412,ENSMUSG00000004040,Stat3,signal transducer and activator of transcription 3
5413,ENSMUSG00000062939,Stat4,signal transducer and activator of transcription 4
5414,ENSMUSG00000004043,Stat5a,signal transducer and activator of transcription 5A
5415,ENSMUSG00000020919,Stat5b,signal transducer and activator of transcription 5B
5416,ENSMUSG00000002147,Stat6,signal transducer and activator of transcription 6
5417,ENSMUSG00000039536,Stau1,staufen double-stranded RNA binding protein 1
5419,ENSMUSG00000014813,Stc1,stanniocalcin 1
5420,ENSMUSG00000020303,Stc2,stanniocalcin 2
5421,ENSMUSG00000078798,Sult2a1,"sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 1"
5422,ENSMUSG00000029272,Sult1e1,"sulfotransferase family 1E, member 1"
5423,ENSMUSG00000071562,Stfa1,stefin A1
5424,ENSMUSG00000022902,Stfa2,stefin A2
5425,ENSMUSG00000054905,Stfa3,stefin A3
5426,ENSMUSG00000030987,Stim1,stromal interaction molecule 1
5427,ENSMUSG00000024966,Stip1,stress-induced phosphoprotein 1
5428,ENSMUSG00000020272,Stk10,serine/threonine kinase 10
5429,ENSMUSG00000003068,Stk11,serine/threonine kinase 11
5431,ENSMUSG00000070837,Aurkc,aurora kinase C
5432,ENSMUSG00000026201,Stk16,serine/threonine kinase 16
5433,ENSMUSG00000025758,Plk4,polo like kinase 4
5434,ENSMUSG00000025060,Slk,STE20-like kinase
5435,ENSMUSG00000020897,Aurkb,aurora kinase B
5436,ENSMUSG00000027496,Aurka,aurora kinase A
